customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag,missing_value,year,month,day,weekday,annual_income_bin,credit_score_binarize,spending_ratio_bin,loan_amount_kbins,annual_income_scaled,transaction_count_scaled,spending_ratio_normalized,credit_score_maxabs,age_robust,loan_sqrt,income_power,loan_power,debt_to_income,avg_monthly_txn,spending_to_income
1001,59.0,Male,South,Secondary,Self-Employed,932180.0,273684.0,Education,674.0,4,43,59.05,2018-11-27,1,0,2018,11,27,1,very high,1.0,level 3,0.0,-0.3399554273866801,0.2911392405063291,1.0,0.7938751472320377,1.072420634920635,523.1481625696491,-0.2831636009736291,-0.6932793071072895,0.2935956574910425,3.909090909090909,6.334613486665665e-05
1002,22.0,Female,South,Post-Graduate,Salaried,303355.0,116047.0,Car,621.0,0,68,51.49,2021-06-10,1,0,2021,6,10,3,medium,1.0,level 2,0.0,-1.6048922878426952,0.6075949367088608,1.0,0.7314487632508834,-0.9831349206349205,340.65671870667694,-1.7083715589225414,-1.665714955155006,0.3825452028151835,11.333333333333334,0.00016973512880948065
1003,39.69642857142857,Male,East,Post-Graduate,Salaried,1153277.0,586488.0,Home,663.0,4,70,60.82,2022-12-31,1,0,2022,12,31,5,very high,1.0,level 3,1.0,0.10480065743221792,0.6329113924050632,1.0,0.7809187279151943,0.0,765.8250452942891,0.15698291125228658,0.404985685363894,0.5085404460506886,5.833333333333333,5.273667991297841e-05
1004,29.0,Female,South,Graduate,,1453617.0,304648.0,Car,729.0,6,79,27.32,2022-08-26,1,0,2022,8,26,4,very high,1.0,level 1,0.0,0.7089610147166127,0.7468354430379747,1.0,0.8586572438162544,-0.5942460317460316,551.9492730314988,0.7257934691738341,-0.5534448005687473,0.2095792770722962,9.875,1.879449676221453e-05
1005,28.0,Female,North,Post-Graduate,Salaried,1973415.0,898088.0,Business,653.0,5,82,70.54,2019-06-20,1,0,2019,6,20,3,very high,1.0,level 4,2.0,1.7545804639931455,0.7848101265822784,1.0,0.7691401648998822,-0.6498015873015872,947.6750497929129,1.6521681018426235,1.1364545363822653,0.4550933280632812,13.666666666666666,3.5745142304076946e-05
1006,54.0,Female,North,Primary,Self-Employed,1784398.0,566706.0,Business,670.0,4,99,64.84,2022-04-23,1,1,2022,4,23,5,very high,1.0,level 3,1.0,1.374356124068978,1.0,1.0,0.7891637220259128,0.7946428571428572,752.7987778948635,1.3224949640719021,0.35001651751010826,0.3175894615438932,24.75,3.633718486570821e-05
1007,44.0,Male,South,Secondary,Self-Employed,1485160.0,444300.0,Home,600.0,0,27,20.33,2022-03-23,0,1,2022,3,23,2,very high,0.0,level 1,1.0,0.7724125368242962,0.08860759493670883,1.0,0.7067137809187279,0.2390873015873017,666.5583245298194,0.7839157902893764,-0.024158852559062367,0.2991596864984244,9.0,1.3688760806916426e-05
1008,31.0,Female,East,Graduate,Self-Employed,212666.0,88273.0,Car,838.0,0,91,46.97,2021-06-04,0,1,2021,6,4,4,low,1.0,level 2,0.0,-1.7873211972179515,0.8987341772151898,1.0,0.9870435806831567,-0.48313492063492053,297.1077245714086,-1.9554105410145723,-1.9271647876624443,0.41507810369311504,15.166666666666666,0.0002208627613252706
1009,53.0,Male,South,Graduate,Salaried,689570.0,251577.0,Business,634.0,4,66,62.79,2018-09-15,1,0,2018,9,15,5,high,1.0,level 3,0.0,-0.8279868060933693,0.5822784810126582,1.0,0.7467608951707891,0.7390873015873017,501.5745208839859,-0.7943744436904197,-0.8000804365125339,0.3648317067157794,7.333333333333333,9.105674550807025e-05
1010,21.0,Male,West,Post-Graduate,Salaried,1894490.0,864881.0,Car,641.0,2,82,73.75,2020-03-22,1,0,2020,3,22,6,very high,1.0,level 4,2.0,1.595815876530034,0.7848101265822784,1.0,0.7550058892815077,-1.038690476190476,929.9897848901352,1.5154117508226432,1.0679839001903368,0.4565244472127063,27.333333333333332,3.892868265337901e-05
1011,52.0,Male,East,Primary,Self-Employed,1446862.0,487996.0,Car,759.0,2,47,75.78,2022-03-03,0,0,2022,3,3,3,very high,1.0,level 4,1.0,0.6953727373860671,0.3417721518987341,1.0,0.8939929328621908,0.6835317460317462,698.5671048653809,0.713309903453674,0.11689016392867332,0.33727888354245256,15.666666666666666,5.2375416591216024e-05
1012,26.0,Male,West,Primary,Self-Employed,1401482.0,382958.0,Business,816.0,0,20,33.68,2018-06-20,0,0,2018,6,20,2,very high,1.0,level 1,1.0,0.6040868713223864,0.0,1.0,0.9611307420494699,-0.7609126984126983,618.8360041238712,0.629103247339285,-0.23966728123869038,0.27325217162974624,3.3333333333333335,2.4031703582350683e-05
1013,33.0,Male,South,Primary,Self-Employed,1998792.0,1230179.0,Business,833.0,6,78,39.39,2021-12-24,1,0,2021,12,24,4,very high,1.0,level 2,3.0,1.8056285341363367,0.7341772151898733,1.0,0.9811542991755006,-0.3720238095238094,1109.134347137442,1.695877856416053,1.7392153837945759,0.6154612385881072,6.5,1.9706902969393516e-05
1014,52.0,Male,East,Graduate,Salaried,1101178.5313174946,364877.0,Home,638.0,0,75,22.21,2018-08-09,1,0,2018,8,9,3,very high,1.0,level 1,1.0,0.0,0.6962025316455696,1.0,0.751472320376914,0.6835317460317462,604.0504945780609,0.055112186147038486,-0.30779360550905904,0.3313513564085257,9.375,2.0169299862236742e-05
1015,22.0,Male,North,Graduate,Salaried,469536.0,285676.0,Car,652.0,5,51,55.56,2018-10-10,1,0,2018,10,10,2,medium,1.0,level 3,0.0,-1.2706045728068092,0.3924050632911392,1.0,0.767962308598351,-0.9831349206349205,534.4866696186164,-1.2945417192723756,-0.6378649160562402,0.6084219314386969,5.1,0.00011832958495195257
1016,31.0,Male,North,Post-Graduate,Unemployed,568452.0,329769.0,Education,738.0,0,92,39.25,2020-05-28,0,0,2020,5,28,3,medium,1.0,level 2,0.0,-1.0716263284799024,0.9113924050632911,1.0,0.8692579505300353,-0.48313492063492053,574.2551697634075,-1.0643547637059343,-0.4471711704009121,0.5801175824871757,18.4,6.904716669129495e-05
1017,26.0,Female,North,Primary,Salaried,312547.0,158541.0,Education,746.0,6,71,76.43,2022-11-06,1,0,2022,11,6,6,medium,1.0,level 4,0.0,-1.5864017704152524,0.6455696202531646,1.0,0.8786808009422851,-0.7609126984126983,398.17207335522664,-1.6843389427754685,-1.340384270156746,0.5072549088617072,6.454545454545454,0.0002445392213011163
1018,39.69642857142857,Male,South,Secondary,Salaried,1025816.0,538418.0,Home,641.0,3,35,69.03,2021-12-29,1,0,2021,12,29,2,very high,1.0,level 4,1.0,-0.15159836800504067,0.18987341772151894,1.0,0.7550058892815077,0.0,733.769718644753,-0.09418557859017468,0.26901734177512276,0.5248680075179174,2.9166666666666665,6.7292769853463e-05
1019,39.69642857142857,Female,North,Post-Graduate,Self-Employed,1540575.0,621495.0,Home,698.0,2,39,73.23,2020-12-05,0,0,2020,12,5,5,very high,1.0,level 4,1.0,0.8838846890481583,0.240506329113924,1.0,0.8221436984687868,0.0,788.3495417643115,0.8853620794837251,0.4991488841539246,0.40341755513363514,3.25,4.753419989289713e-05
1020,53.0,Male,North,Secondary,Salaried,701157.0,384522.0,Car,711.0,2,44,20.3,2022-12-04,0,0,2022,12,4,6,high,1.0,level 1,1.0,-0.8046785352674577,0.30379746835443033,1.0,0.8374558303886925,0.7390873015873017,620.0983792915443,-0.7691303470685712,-0.23388148557215896,0.54841069831721,3.6666666666666665,2.8952146238289002e-05
1021,38.0,Male,West,Primary,,818467.0,280201.0,Home,620.0,6,86,59.46,2021-02-28,1,0,2021,2,28,6,high,1.0,level 3,0.0,-0.5686991402050872,0.8354430379746836,1.0,0.7302709069493521,-0.09424603174603163,529.340155287694,-0.5185066307758309,-0.6629576035843643,0.3423485613958779,43.0,7.264801146533702e-05
1022,53.0,Female,North,Post-Graduate,Self-Employed,1648685.0,1298068.0,Business,650.0,2,46,67.69,2021-03-30,1,0,2021,3,30,1,very high,1.0,level 4,3.0,1.1013574739786236,0.3291139240506329,1.0,0.7656065959952886,0.7390873015873017,1139.3278720368426,1.0809638416786693,1.8478691776790523,0.7873353612121176,15.333333333333334,4.105696358006532e-05
1023,50.0,Female,East,Primary,Unemployed,1079611.0,397797.0,Car,634.0,0,63,76.43,2022-05-20,1,0,2022,5,20,4,very high,1.0,level 4,1.0,-0.04338498843484017,0.5443037974683544,1.0,0.7467608951707891,0.572420634920635,630.7115029869045,0.012626112739095495,-0.18542640209762634,0.36846327056689865,12.6,7.07940174748127e-05
1024,49.0,Female,North,Primary,Self-Employed,611927.0,325336.0,Education,762.0,0,82,38.34,2020-03-15,0,1,2020,3,15,6,high,1.0,level 2,0.0,-0.9841725376663607,0.7848101265822784,1.0,0.8975265017667845,0.5168650793650795,570.3823279169859,-0.9660895030212676,-0.46550099399202405,0.5316581879864755,27.333333333333332,6.265453232166582e-05
1025,52.0,Male,West,Post-Graduate,Salaried,889944.0,628770.0,Home,666.0,1,51,60.27,2021-05-15,1,0,2021,5,15,5,high,1.0,level 3,2.0,-0.4249168605965879,0.3924050632911392,1.0,0.784452296819788,0.6835317460317462,792.9501875906203,-0.36978190391236515,0.5182468370570215,0.7065276017367385,10.2,6.772336236886816e-05
